	Usinggroupbyandc	UsinginjectCarlo	UsinginjectChris	has_keywitheachC
Bytes 10112	18.63767398753567	9.9429953002195	10.747042407677133	10.533897922590105
Bytes 128	7.429744841608222	7.594073716899357	7.256925981109796	8.126428875550227
Bytes 1600	16.410392667522384	9.696827383972192	10.360439992485295	10.018732600621094
Bytes 16064	18.795575886758364	10.053441967471636	10.746955063280291	10.695835095606835
Bytes 192	9.555228835136417	8.296515681794823	7.97346036136912	8.749855444039673
Bytes 2496	16.89039031917506	9.82047924655724	10.497415136458503	9.885661197135951
Bytes 25472	19.100964240533514	10.045225172333433	10.830250991120078	10.777901796825825
Bytes 384	12.462100764958508	9.027494482448256	8.984816438685566	9.483023440325105
Bytes 4032	18.048109732593932	9.93389474416787	10.546217802546538	10.008425044203307
Bytes 40320	19.256278402169183	10.002019106490502	10.534923537560438	10.67907336308946
Bytes 64	4.821616777533987	6.34932371115691	5.619345748250391	6.942397506598711
Bytes 640	14.407623698417408	9.374315882966071	9.721540215025213	9.814896430330297
Bytes 6400	18.711905430530713	9.857396478698778	10.635789420681773	10.270694247905752
Bytes 64000	19.321948972113976	10.082989606418302	10.606027127439623	10.737345670628727
Bytes 960	15.597884382174538	9.598640885324798	10.063866073233097	8.448436913863526
